Site,Date,ABS,Total SSC,Fines,Sands
"Rio Grande above Castolon, TX",7/25/2016,0.9,42.9,42.9,0
"Rio Grande above Castolon, TX",7/25/2016,0.91,56.4,55.4,1.02
"Rio Grande above Castolon, TX",7/26/2016,1.01,43.5,43.5,0
"Rio Grande above Castolon, TX",7/26/2016,1.11,78.1,77.1,0.97
