Date,ABS,Total SSC,Fines,Sands
11/9/2016,2767,3760,2460,1300
11/9/2016,2823,6100,4880,1220
11/9/2016,3193,7583,6690,893
11/10/2016,1676,3210,1930,1280
11/11/2016,1496,1704,915,789
11/12/2016,1061,1460,707,753
