site,datetime,q,log(no3),var(log(no3)),log(ssc),var(log(ssc)),log(total_p),var(log(total_p))
03339000,2015-10-01,516.0,1.077511508153618,0.10071438638756854,3.5185892750754237,1.07705551563007,-1.5971183120793244,0.25651916468774244
03339000,2015-10-02,424.0,1.0445494973624558,0.10495478155982504,3.413739068325319,1.0882481795753924,-1.6388963495844615,0.27264847361511807
03339000,2015-10-03,393.0,1.0032199039062295,0.10264461643733368,3.266485854890374,1.1295481798722815,-1.6846602060074094,0.3091824984455098
03339000,2015-10-04,377.0,0.9911974487837806,0.1133186516599793,3.2423387368480574,1.216241855018467,-1.7260948155273537,0.2802767378565882
03339000,2015-10-05,371.0,1.0018266861300102,0.11016875568544775,3.2044855470733316,1.0931792587285076,-1.728278713605423,0.27312961873624414
03339000,2015-10-06,382.0,0.9966762374999749,0.10685773941768126,3.2338036134987727,1.0576511802256114,-1.700123387453755,0.2761327190077504
03339000,2015-10-07,370.0,0.9960236124248902,0.10866070027729757,3.196998291894482,1.1322505965423435,-1.7712592488353,0.2698020862930704
03339000,2015-10-08,363.0,0.9934989342446937,0.11054225537300642,3.1277168448394694,1.059239436018136,-1.7591478281094461,0.3068701085869083
03339000,2015-10-09,262.0,0.931195119555124,0.11343484370647276,2.951773845468689,1.1641371386588104,-1.8480230711941161,0.28816234941709107
03339000,2015-10-10,336.0,0.9778261318685605,0.10803662799006719,2.990754516090067,1.108798749473755,-1.7363234719229372,0.27367455935108315
03339000,2015-10-11,305.0,0.9434273002477973,0.09717246012941184,3.0163175513213845,1.0810466409308175,-1.7685981232894545,0.26637812543480943
03339000,2015-10-12,281.0,0.9563256652050292,0.10798659195574656,2.885493011569583,1.040228812513578,-1.8159829398535283,0.28944315646765867
03339000,2015-10-13,276.0,0.9327183636799838,0.10603037758989599,2.8733654117028746,1.129367773416326,-1.8615884792265602,0.25717397224212124
03339000,2015-10-14,272.0,0.9248951273079086,0.09861582365716565,2.8244206934418643,1.2301562510372483,-1.8396059847092976,0.2956972869790133
03339000,2015-10-15,263.0,0.9505724977514147,0.0974271039220152,2.7936539448075783,1.2113674506528431,-1.8405490422451432,0.24060226126613218
03339000,2015-10-16,250.0,0.9452926650580616,0.10887595173901775,2.7070735752770387,1.0412996692439236,-1.8963464694805272,0.2787478113364796
03339000,2015-10-17,238.0,0.9312054263518157,0.08988212772545208,2.6607410710864805,1.1282655130860766,-1.884416690092761,0.2666850454870522
03339000,2015-10-18,229.0,0.8893714226401231,0.09596928319812698,2.676919629270726,1.06346566995692,-1.8665385957533405,0.2777071279504508
03339000,2015-10-19,206.0,0.8686200974766,0.11197505516395709,2.500983972862999,1.0925964217442408,-1.974616694124324,0.2667177796349148
03339000,2015-10-20,172.0,0.8582672953135185,0.1124127083525604,2.3421817095958204,1.1324867435798436,-2.015011152085395,0.2986587799826182
03339000,2015-10-21,161.0,0.8406059564110042,0.09961481940024772,2.264336591311452,1.0772161386300112,-2.0191520943817807,0.26184017786932545
03339000,2015-10-22,164.0,0.8600785785690629,0.11159874428141577,2.358373706153828,1.0638824992307478,-2.0450804655117154,0.30613667134799794
03339000,2015-10-23,210.0,0.8833269479859811,0.10488129877126375,2.5439171096464754,1.075491683763498,-1.9734724589705397,0.25894368049261274
03339000,2015-10-24,207.0,0.8960455462485836,0.10229765524995746,2.428755970442391,1.0749361451240995,-1.9716409712178282,0.2762400654377255
03339000,2015-10-25,181.0,0.8838982310171689,0.10394077077128218,2.3381615277885124,1.1183505541901955,-2.0443065448153863,0.2649339145109906
03339000,2015-10-26,179.0,0.8491827529797817,0.10315292182728843,2.2855599172281944,1.1324353019620055,-2.0248506853838313,0.27898227266429954
03339000,2015-10-27,203.0,0.9128531886630575,0.09888413321512012,2.4152179532435354,1.1655798475680939,-1.9793308009324746,0.26637415538005044
03339000,2015-10-28,419.0,1.049291742557675,0.11470012788126834,3.0088744422747213,1.2643598192106007,-1.7664790262543657,0.2718272742662949
03339000,2015-10-29,574.0,1.1104023241450678,0.11184256796788554,3.3089974223796275,1.0471012034025573,-1.6284585362640716,0.24911754522060306
03339000,2015-10-30,463.0,1.0861612383776422,0.11090066579111064,3.0896403114920337,1.0794273623870245,-1.7387222469577366,0.28498702885665067
03339000,2015-10-31,371.0,1.0170994733874263,0.10536404191542573,2.8860157900429027,1.1321816634179587,-1.8332749257747298,0.27537525932597706
03339000,2015-11-01,339.0,1.01258771186644,0.11063812982929933,2.7962287820849214,1.082808096639321,-1.8292068470275624,0.29618161379486063
03339000,2015-11-02,339.0,1.0437057526036277,0.10623347011125399,2.772819596131049,1.062082690999021,-1.8283589738624288,0.2677424086060353
03339000,2015-11-03,352.0,1.046431539229583,0.10124976433450614,2.789615550373343,1.0829794317503696,-1.843643336176522,0.28737649078487426
03339000,2015-11-04,343.0,1.0365841494427201,0.10134991008244967,2.810763571586568,1.1144393126919294,-1.8576420032569638,0.2590683989842839
03339000,2015-11-05,307.0,1.1281710909096485,3.0814879110195774e-29,3.850147601710002,3.180884385077425e-27,-1.3862943611198644,6.865062027685855e-28
03339000,2015-11-06,260.0,0.9756480078080724,0.10275930213833387,2.4819835371448153,1.1361419513692292,-1.9776621103060241,0.27248095855879556
03339000,2015-11-07,273.0,1.0029501949822177,0.10939029736449915,2.5660987032617277,0.9844709194084256,-1.95902534260356,0.2686745902628701
03339000,2015-11-08,312.0,1.026497430940385,0.09874475633950444,2.6063856674787407,1.0982017956785235,-1.8934478066188132,0.2703738516308267
